タグ	使用頻度	略語	英文	和訳	説明	具体例
交信,状態,Q符号,疑問	4	QRL?	Are you busy?	この周波数は使用中ですか？	周波数が空いているか確認するためによく使うQ符号。	CQを出す前に「QRL?」と送って空き周波数か確認する。
交信,状態,Q符号	5	QRM	I am being interfered with	こちらは混信を受けています	人工的な混信を受けていることを伝えるQ符号。	「QRM HR PSE QSY」でこちらは混信があるので周波数変更を依頼する。
交信,状態,Q符号,疑問	5	QRM?	Is my transmission being interfered with?	私の送信は混信を受けていますか？	他局などによる人工的な混信の有無を尋ねるQ符号。	混信が疑われるとき「QRM?」で確認する。
交信,状態,Q符号	4	QRN	I am troubled by static	こちらは空電ノイズに悩まされています	自然雑音や空電の影響があることを伝えるQ符号。	「QRN HVY」で空電ノイズが強いことを伝える。
交信,状態,Q符号,疑問	4	QRN?	Are you troubled by static?	空電ノイズに悩まされていますか？	自然雑音や空電の影響を尋ねるQ符号。	悪天候時に「QRN?」で空電の影響を確認する。
出力,速度,Q符号	4	QRO	Increase power	出力を上げてください	出力増加を指示。	出力増加「QRO PSE」で強化依頼。
出力,速度,Q符号,疑問	4	QRO?	Shall I increase power?	出力を上げましょうか？	出力増加を提案。	弱信号時「QRO?」で出力増加を提案。
出力,速度,Q符号	4	QRP	Decrease power	出力を下げてください	出力減少を指示。	低出力運用「QRP 5W」で出力宣言。
出力,速度,Q符号,疑問	4	QRP?	Shall I decrease power?	出力を下げましょうか？	出力減少を提案。	強すぎ「QRP?」で出力減少を提案。
出力,速度,Q符号	4	QRQ	Send faster	もっと速く送ってください	速度向上を指示。	速度向上「QRQ 30WPM PSE」で指定速度依頼。
出力,速度,Q符号,疑問	4	QRQ?	Shall I send faster?	もっと速く送りましょうか？	送信速度向上を提案。	速度確認「QRQ?」で速度向上を提案。
出力,速度,Q符号	4	QRS	Send slower	もっとゆっくり送ってください	速度低下を指示。	ゆっくり送信「QRS PSE」で速度低下依頼。
出力,速度,Q符号,疑問	4	QRS?	Shall I send slower?	もっとゆっくり送りましょうか？	送信速度低下を提案。	聞き取り困難「QRS?」でゆっくり送信を提案。
交信,状態,Q符号	4	QRT	Stop sending	送信を止めてください	送信停止を指示。	送信停止「QRT NW」で即座終了。
交信,状態,Q符号,疑問	4	QRT?	Shall I stop sending?	送信を止めましょうか？	送信停止を提案。	終了確認「QRT?」で送信停止を確認。
交信,状態,Q符号	5	QRU	I have nothing for you	あなた宛の伝言はありません	相手宛の伝言や用件がないことを伝えるQ符号。	「QRU NIL」で伝言なしを伝えて交信を締める。
交信,状態,Q符号,疑問	5	QRU?	Have you anything for me?	私宛の伝言はありますか？	相手にこちら宛の伝言や用件があるか尋ねるQ符号。	ネット運用で「QRU?」と送り、伝言の有無を確認する。
交信,状態,Q符号	4	QRV	I am ready	私は準備できています	準備完了を伝える。	準備完了「QRV QSL」で運用開始。
交信,状態,Q符号,疑問	4	QRV?	Are you ready?	あなたは準備できていますか？	準備状況を確認。	スケジュール前「QRV?」で準備完了を確認。
交信,状態,Q符号	5	QRX	I will call you again at ...	…時に再び呼びます	再コールする時刻や待機を伝えるQ符号。	「QRX 2200Z」で2200 UTCに再び呼ぶことを伝える。
交信,状態,Q符号,疑問	5	QRX?	When will you call me again?	いつ再び呼んでくれますか？	再コールの時刻を尋ねるQ符号。	離席前に「QRX?」で次に呼ぶ時刻を確認する。
交信,状態,Q符号	5	QRZ	You are being called by ...	あなたは…に呼ばれています	誰が呼んでいるかを伝えるQ符号。	「QRZ JA1ABC」でJA1ABCが呼んでいることを伝える。
交信,状態,Q符号,疑問	5	QRZ?	Who is calling me?	誰が私を呼んでいますか？	呼び出している局を尋ねるQ符号。	パイルアップや混信中に「QRZ?」で呼出局を確認する。
交信,状態,Q符号	4	QSB	Your signal is fading	あなたの信号は変動しています	相手のフェーディングを報告。	フェージング「QSB BAD PSE SLOWER」で速度調整依頼。
交信,状態,Q符号,疑問	5	QSA?	What is the strength of my signals?	私の信号強度はどの程度ですか？	信号の強さを1-5で尋ねるQ符号。	「QSA?」で相手に信号強度を尋ねる。
交信,状態,Q符号	5	QSA	The strength of your signals is ...	あなたの信号強度は…です	相手の信号強度を1-5で伝えるQ符号。	「QSA 5」で非常に強い信号であることを伝える。
交信,状態,Q符号,疑問	4	QSB?	Is my signal fading?	私の信号は変動していますか？	信号のフェーディングを尋ねる。	変動時「QSB?」でフェージング確認。
確認,返答	5	QSL	I acknowledge receipt	受信しました/了解しました	受信確認を表すQ符号。文脈によりQSLカードの確認も意味する。	「QSL TU」で受信了解と感謝を伝える。
確認,返答,疑問	5	QSL?	Can you acknowledge receipt?	受信確認できますか？	受信確認や了解を求めるQ符号。QSLカードの確認にも使われる。	「QSL?」で直前の送信内容を了解したか確認する。
通信,Q符号	4	QSO	I can communicate with ...	…と交信できます/交信	交信そのもの、または特定局と交信可能であることを表すQ符号。	「TNX FB QSO」でよい交信への感謝を伝える。
通信,Q符号,疑問	4	QSO?	Can you communicate with ...?	…と交信できますか？	特定局と交信できるか尋ねるQ符号。	「QSO JA1ABC?」でJA1ABCと交信可能か尋ねる。
通信,Q符号	3	QSP	I will relay to ...	…へ中継します	中継承諾。	中継承諾「QSP WIL」で引き受ける。
通信,Q符号,疑問	3	QSP?	Will you relay to ...?	…へ中継してもらえますか？	中継依頼。	中継依頼「QSP JA1ABC?」で伝言中継を依頼。
周波数,通信,Q符号	3	QSU	Send on this frequency	この周波数で送信してください	この周波数使用を指示。	「QSU PSE」で確認。
周波数,通信,Q符号,疑問	3	QSU?	Shall I send on this frequency?	この周波数で送信しましょうか？	この周波数使用を提案。	「QSU 7070?」
周波数,通信,Q符号	3	QSX	I am listening to ... on ... kHz	…を…kHzで受信しています	特定周波数受信を伝える。	「QSX 14200 CW」で待機。
周波数,通信,Q符号,疑問	5	QSW?	Will you send on this frequency?	この周波数で送信しますか？	相手がこの周波数で送信するか尋ねるQ符号。	「QSW?」で送信予定の周波数を確認する。
周波数,通信,Q符号	5	QSW	I am going to send on this frequency	この周波数で送信します	この周波数で送信する予定を伝えるQ符号。	「QSW 7.030」で7.030MHzで送信することを示す。
周波数,通信,Q符号,疑問	3	QSX?	Will you listen to ... on ... kHz?	…を…kHzで受信しますか？	特定周波数受信を尋ねる。	「QSX 14200 7.000?」
周波数,通信,Q符号	5	QSY	Change frequency	周波数を変更してください	別の周波数へ移ることを指示・提案するQ符号。	「QSY UP 5」で5kHz上へ移動する。
周波数,通信,Q符号,疑問	5	QSY?	Shall I change frequency?	周波数を変えましょうか？	周波数を変更するか尋ねるQ符号。	混信時に「QSY?」で移動を提案する。
通信,Q符号	3	QTC	I have ... messages to send	…通の電報があります	メッセージ数を伝える。	メッセージ数「QTC 3」で3通送信。
通信,Q符号,疑問	3	QTC?	How many messages have you to send?	送る電報は何通ありますか？	送信メッセージ数を尋ねる。	トラフィック「QTC?」で送信メッセージ数確認。
通信,Q符号	5	QTH	My location is ...	私の所在地は…です	自局の所在地や運用場所を伝えるQ符号。	「QTH TOKYO」で所在地が東京であることを伝える。
通信,Q符号,疑問	5	QTH?	What is your location?	あなたの所在地はどこですか？	相手の所在地や運用場所を尋ねるQ符号。	「QTH?」で相手の所在地を尋ねる。
確認,返答	5	R	All received OK	了解(100%聞き取れた)	受信確認の略。	完全受信「R TU 73」で100%了解確認。
RST,詳細	3	R1	Unreadable	了解不能	受信不能。	ノイズで「R1」で不可。
RST,詳細	3	R2	Barely readable, occasional words distinguishable	ほとんど了解できない(時々単語が分かる)	ほとんど不可。	時々単語「R2」で部分。
RST,詳細	3	R3	Readable with considerable difficulty	かなり困難だが了解可能	苦労受信。	努力で「R3」可能。
RST,詳細	4	R4	Readable with practically no difficulty	ほとんど問題なく了解可能	容易受信。	ほぼ問題なし「R4」。
RST,詳細	4	R5	Perfectly readable	完全に了解できる	完全受信。	完全了解「UR R5 S9 T9」で最高評価。
設備,用語	3	RC	Ragchew	雑談	雑談。	「RC RAG」で雑談。
設備,用語	4	RCD	Received	受信	受信。	「RCD QSL」で受信。
設備,用語	4	RCVD	Received	受信	受信。	「RCVD ALL」で全受信。
設備,用語	4	RCVR	Receiver	受信機	受信機。	「RCVR FT-817」で機種。
設備,用語	3	REPT	Report	レポート	レポート。	「REPT RST」でレポート。
干渉関連	3	RFI	Radio frequency interference	無線周波干渉	RF源からの干渉。	「RFI bad PSE QSY」で周波変更依頼。
設備,用語	4	RIG	Radio equipment	無線機	使用機材を説明。	機材紹介「RIG IC-7300 PWR 100W」で使用機材。
設備,用語	1	RNG	Running	走行中	走行中。	移動「RNG MOBILE」で走行。
RST	4	RST	Readability, Strength, Tone	了解度・信号強度・音調のレポート	CWで信号品質を3桁で表す標準的なレポート形式。	「UR RST 579」で了解度5、強度7、音調9を伝える。
RST	3	RST 339	Readable with difficulty, weak, pure tone	聞き取り困難、弱く、音質良好	難受信例。	弱信号「QRN HVY UR RST 339」で困難だが了解可能。
